"report-def-2-rfile"
"Iteration" "report-def-2"
("Iteration" "report-def-2")
45 0.6494805029197397
46 0.6486902711201661
47 1.638502074545649
48 2.342094943017287
49 2.39331558288659
50 2.266012177302677
51 2.085514141072366
52 1.932673661318277
53 1.811845776150842
54 1.726987342130365
55 1.664372510295452
56 1.619681439151432
57 1.585670717153239
58 1.56006930356601
59 1.540041502404956
60 1.524754051633915
61 1.51306111175976
62 1.504364566403829
63 1.497955047738461
64 1.493417671345288
65 1.490267626515562
66 1.488341147765145
67 3.110963047537889
68 4.031572792234155
69 4.041607958896574
70 3.81467015741838
71 3.528945896347684
72 3.3060716961807
73 3.125724629679478
74 3.001636351957423
75 2.909962786928176
76 2.845576728441518
77 2.796044993654622
78 2.759394423215454
79 2.730352326419034
80 2.708080330475908
81 2.690268255625085
82 2.676896322636896
83 12.61744244070282
84 22.01489110984243
85 23.17149212352611
86 21.78663132698103
87 19.40741269156752
88 17.45945538608822
89 15.7686562573924
90 14.57685496051491
91 13.65691956269783
92 13.01803283591915
93 12.52319453442943
94 12.17353099380018
95 11.89634230078969
96 11.69231368435421
97 11.53031214323963
98 11.40681027865177
99 11.30869635027713
100 11.23559972013228
101 11.17969968847498
102 11.14040915366989
103 11.11289773570868
104 11.09536870747023
105 11.08565652171948
106 11.08190996287173
107 11.08233730388794
108 11.08578234890099
