"report-def-0-rfile"
"Iteration" "report-def-0"
("Iteration" "report-def-0")
1 2068.497084832623
2 459.9860951108668
3 398.1723268257329
4 324.0285985214087
5 256.9001616491442
6 207.5549929946295
7 170.626722736092
8 145.2652322591503
9 127.3165097185373
10 117.5929286794707
11 119.364307091402
12 126.8610190430458
13 136.6166952893728
14 145.9180986325337
15 152.4356793400024
16 155.4115638819214
17 154.572956962264
18 151.7888518452484
19 148.206790616298
20 144.7262750149303
21 141.3969467287508
22 138.3207198725777
23 135.3074679332211
24 132.4298941554481
25 129.6608403225987
26 127.0975130110178
27 124.7150049179432
28 122.485600005489
29 120.4157057578783
30 118.4846414687093
31 116.6982797742135
32 115.0616854776073
33 113.571329239115
34 112.2507161630469
35 111.0958497469266
36 110.093661631487
37 109.2480902646003
38 108.5456423330264
39 107.9813597373472
40 107.5202898618738
41 107.1509278234547
42 106.8529032073922
43 106.615771044662
44 106.422966288571
45 106.2724313653348
46 106.1592909572594
47 106.0892037450137
48 106.0623504172002
49 106.0719644703562
50 106.1184462676334
51 106.1950345424908
52 106.2986342207677
53 106.4239551073206
54 106.5611591276509
55 106.7081912168311
56 106.8590925371341
57 107.0097138193352
58 107.1569607836683
59 107.2982756867801
60 107.4338936877079
