"report-def-1-rfile"
"Iteration" "report-def-1"
("Iteration" "report-def-1")
1 5237.01595427637
2 1656.197551459254
3 1790.770307383573
4 1813.155256385045
5 1796.693968193051
6 1762.689360261189
7 1728.420575739313
8 1688.483792260436
9 1648.886962351369
10 1606.457318387317
11 1580.375628718909
12 1560.189602626063
13 1544.001350219556
14 1520.188158817155
15 1484.741369001803
16 1436.294680127376
17 1379.029434520782
18 1322.519021209494
19 1274.360171014802
20 1238.163644019528
21 1212.664436423511
22 1196.598322019615
23 1187.858982514535
24 1184.754320015666
25 1185.801283946782
26 1189.834598519389
27 1195.86522759971
28 1202.943219741501
29 1210.553948645689
30 1218.347320390576
31 1226.138381148072
32 1233.889214879671
33 1241.635681778346
34 1249.508788548334
35 1257.57135088571
36 1265.772334718648
37 1274.037684179212
38 1282.27365418821
39 1290.365299454445
40 1298.082211508214
41 1305.249967791074
42 1311.724877875831
43 1317.417595709569
44 1322.261060596567
45 1326.260978422241
46 1329.45683258134
47 1331.931681077494
48 1333.776921101213
49 1335.054038406025
50 1335.845909402329
51 1336.221610163306
52 1336.250551381877
53 1335.990581627608
54 1335.482355043819
55 1334.772253605614
56 1333.899052643584
57 1332.895072495833
58 1331.790272966995
59 1330.612264875575
60 1329.394434643214
