"report-def-1-rfile"
"Iteration" "report-def-1"
("Iteration" "report-def-1")
1 5601.832116724991
2 1830.82619399986
3 1967.680061215082
4 1978.650659312671
5 1960.253799897603
6 1921.463931490684
7 1879.010881395563
8 1828.168178067684
9 1773.388423635602
10 1730.910482991456
11 1699.464387354566
12 1665.080816077024
13 1626.436132680921
14 1581.57933241985
15 1532.421821058128
16 1483.077854078703
17 1438.025070097903
18 1399.605692474387
19 1368.043861980695
20 1341.499712439992
21 1318.413277449463
22 1297.949165685403
23 1279.600321160499
24 1263.316917592346
25 1249.046798552066
26 1236.69996886788
27 1226.361296554102
28 1218.323641887422
29 1213.049623958336
30 1210.699204039046
31 1211.22608961737
32 1214.314728330414
33 1219.392201143751
34 1225.867757503715
35 1233.368959545849
36 1241.603110678187
37 1250.272114965359
38 1259.094473547539
39 1267.692085298846
40 1275.58655930526
41 1282.278154588494
42 1287.854479539825
43 1292.309071274852
44 1295.855735630573
45 1298.71199234195
46 1300.904058337748
47 1302.581217502752
48 1303.837751556844
49 1304.698967442174
50 1305.184362751301
51 1305.307151370924
52 1305.100394804711
53 1304.611445613043
54 1303.888686595462
55 1302.995892218938
56 1301.989703963237
