"report-def-0-rfile"
"Iteration" "report-def-0"
("Iteration" "report-def-0")
1 2369.803384765094
2 555.9530310320939
3 481.3020737923435
4 395.4548791482264
5 319.304113483472
6 266.5462465152047
7 226.8088558560015
8 203.9453935585423
9 192.2661720493827
10 199.4275982931065
11 212.4858294916571
12 221.9797398583734
13 228.2215332187237
14 231.5147291752316
15 231.5756003620164
16 229.6909730418348
17 227.1865891964147
18 225.0503569893862
19 223.5580175718859
20 222.5635380116807
21 221.7463471662921
22 220.9167986145568
23 219.8351890216186
24 218.4479665953162
25 216.6403528766395
26 214.3539095351288
27 211.6116578759867
28 208.5360263227348
29 205.3306372531912
30 202.1223044401638
31 199.0552006801143
32 196.1611504891608
33 193.4451221646669
34 190.9195315678799
35 188.6010691851121
36 186.5433652825704
37 184.7653569676008
38 183.2943029604455
39 182.12338010905
40 181.1572209391078
41 180.3220112842555
42 179.5958323759333
43 178.9856433583098
44 178.4978845494016
45 178.1379905275695
46 177.902010116331
47 177.7920364563008
48 177.8053026087263
49 177.911983818618
50 178.0918868255687
51 178.317537227805
52 178.5725574203864
53 178.8412554351973
54 179.1106723938235
55 179.37359652121
56 179.6235829541766
