"report-def-1-rfile"
"Iteration" "report-def-1"
("Iteration" "report-def-1")
1 634.1842573280294
2 94.91599773950047
3 77.49274539786052
4 59.49980104559607
5 44.0272501309092
6 34.16821736928259
7 26.41090755533378
8 21.39730466807361
9 17.62371614888572
10 15.44566164252347
11 14.1240139521574
12 13.90658447952598
13 14.33826150242205
14 15.42986081935462
15 16.38073366581969
16 17.01081572551491
17 17.20706274210074
18 17.08059191260152
19 16.81076368567002
20 16.53468066831214
21 16.26510741007715
22 16.00233519481193
23 15.78942077267562
24 15.64705872667517
25 15.52300607768979
26 15.36861359363903
27 15.18456930385685
28 14.97385081207798
29 14.75142392195501
30 14.53685691639648
31 14.33775643559503
32 14.15816929845637
33 14.00115255332503
34 13.86626991275862
35 13.75215764334116
36 13.65548368682427
37 13.57252938622
38 13.49988330281315
39 13.43542074636999
40 13.37715279408421
41 13.32326907465441
42 13.27304236620968
43 13.22589180492857
44 13.18285373999524
45 13.1431889520301
46 13.10784007046121
47 13.07669547352225
48 13.0498055354199
49 13.0271065467022
50 13.00841503174833
51 12.99306539855505
52 12.98114069077889
53 12.97189837788108
