"report-def-0-rfile"
"Iteration" "report-def-0"
("Iteration" "report-def-0")
1 1682.325740153656
2 360.1525723122781
3 362.2888590999981
4 349.9504522649599
5 340.2325484930158
6 327.8165795056491
7 317.9994241735893
8 306.6912315621774
9 296.4609844271553
10 286.0042089447613
11 276.4458779787747
12 267.5727533150743
13 259.8069979519509
14 252.7261980133016
15 245.5763138797016
16 237.6552611244153
17 229.197649267412
18 220.92022611585
19 214.1081528804552
20 209.5871340729103
21 207.3091496703539
22 206.7835747172034
23 207.8506085615165
24 210.2943333645054
25 213.5519780424943
26 217.0582054339639
27 220.5231301334981
28 223.8124283274429
29 226.8721971865749
30 229.7315665855312
31 232.4221670116871
32 234.9795807389414
33 237.4308732812739
34 239.7883503090683
35 242.0502283893548
36 244.2095081646134
37 246.2497295351612
38 248.1544072918815
39 249.9089373215477
40 251.5030306610701
41 252.9296096084588
42 254.1891799712374
43 255.2861945481538
44 256.2316622475268
45 257.035339367432
46 257.7118292514177
47 258.2763150742085
48 258.7405898637839
49 259.1184085048889
50 259.4200305123583
51 259.6552748955919
52 259.8332670572648
53 259.9616090921295
