"report-def-1-rfile"
"Iteration" "report-def-1"
("Iteration" "report-def-1")
1 1057.880284575755
2 161.5105341299704
3 145.0343904405125
4 120.2577152564359
5 111.3496174202461
6 106.9591080922168
7 99.88537627390882
8 93.12011774779663
9 87.06372114096965
10 82.65312380659225
11 79.340342959586
12 74.86684831169308
13 69.41093889534515
14 63.75992722762942
15 58.7135593910243
16 54.87277421285049
17 52.25484496780729
18 50.50712432657642
19 49.27460713112449
20 48.64357304477664
21 49.00104550963214
22 50.52704850787971
23 52.87627397163799
24 55.49664774055388
25 57.92315212878596
26 59.90960461852552
27 61.33720290937891
28 62.21577493488227
29 62.64039707871277
30 62.69036931490167
31 62.50749927492244
32 62.20205935998833
33 61.83916547837231
34 61.45906945934001
35 61.09566258503556
36 60.7475390883756
37 60.41716714202462
38 60.09422057379989
39 59.76918442625126
40 59.4434072785818
41 59.12121589557874
42 58.81012431390516
43 58.51729363618087
44 58.24960779998789
45 58.00949917829431
46 57.79748342750043
47 57.61456834173703
48 57.46639287484847
49 57.35261637702751
50 57.27068054342925
51 57.21592082495327
52 57.18299241813333
53 57.16687276622612
54 57.16344520041743
55 57.16924650478644
