"report-file-0"
"Iteration" "report-def-0"
("Iteration" "report-def-0")
1 508.2777240541518
2 64.47258771029031
3 50.79393210936808
4 32.67894519714983
5 24.0897029029509
6 20.68924969471975
7 17.26751465257965
8 16.04164751024391
9 16.94489319358803
10 19.45226044552773
11 22.55841590351249
12 24.71544141400916
13 25.69780565725229
14 25.68827464034841
15 24.95900837517904
16 23.81905516130161
17 22.39886742418705
18 20.71797523090308
19 18.79040392337102
20 16.85641143248229
21 15.18597321812318
22 13.96305440073793
23 13.12090005318923
24 12.54525551836993
25 12.13743911648943
26 11.84391959611769
27 11.62854340925278
28 11.46449730852231
29 11.35928489138157
30 11.30199740770781
31 11.29787972135633
32 11.34711811491429
33 11.44204570283078
34 11.57259183302789
35 11.73105340575822
36 11.9045650070405
37 12.08189061324438
38 12.25164710127609
39 12.40518231466789
40 12.539354348311
41 12.65306596606941
42 12.74702283778503
43 12.82272292177333
44 12.88205885123745
45 12.92555610151022
46 12.95435776708805
47 12.9704509904901
48 12.97780501723987
49 12.97818093574007
50 12.97368845206628
51 12.96540282394132
52 12.95439324484147
53 12.94134402389706
54 12.9269766005985
55 12.91174204163195
