Velocity [MPH],Angle of Attack,Port Number,Pressure 1 [psi],Pressure 2 [psi],Pressure 3 [psi],Pressure AVG [psi]
40,0,1,0.278685633333333,0,0,0.139342816666667
40,0,2,31.35213375,20.8465631233595,0,26.0993484366797
40,0,3,31.6308193833333,21.943750656168,0,26.7872850197506
40,0,4,31.35213375,20.8465631233595,0,26.0993484366797
40,0,5,29.9587055833333,19.200781824147,0,24.5797437037402
40,0,6,28.1472489666667,17.5550005249344,0,22.8511247458005
40,0,7,28.1472489666667,19.200781824147,0,23.6740153954068
40,0,8,28.1472489666667,16.4578129921259,0,22.3025309793963
40,0,9,23.9669644666667,12.6176566272966,0,18.2923105469816
40,0,10,23.9669644666667,13.714844160105,0,18.8409043133859
40,0,11,21.8768222166667,12.0690628608924,0,16.9729425387796
40,0,12,17.6965377166667,10.971875328084,0,14.3342065223754
40,0,13,17.6965377166667,12.0690628608924,0,14.8828002887796
40,0,14,17.6965377166667,12.0690628608924,0,14.8828002887796
40,0,15,17.6965377166667,12.6176566272966,0,15.1570971719817
40,0,16,17.6965377166667,12.6176566272966,0,15.1570971719817
40,0,17,18.3932518,13.714844160105,0,16.0540479800525
40,0,18,31.6308193833333,0,0,15.8154096916667
40,5,1,0,3.84015636482939,0,1.9200781824147
40,5,2,31.35213375,30.1726571522309,0,30.7623954511155
40,5,3,34.1389900833333,27.9782820866142,0,31.0586360849737
40,5,4,31.35213375,26.3325007874016,0,28.8423172687008
40,5,5,29.9587055833333,25.2353132545931,0,27.5970094189632
40,5,6,28.5652774166667,19.200781824147,0,23.8830296204069
40,5,7,28.5652774166667,19.200781824147,0,23.8830296204069
40,5,8,28.5652774166667,16.4578129921259,0,22.5115452043963
40,5,9,25.7784210833333,13.714844160105,0,19.7466326217192
40,5,10,22.99156475,5.485937664042,0,14.238751207021
40,5,11,21.5981365833333,6.03453143044619,0,13.8163340068897
40,5,12,18.81128025,7.13171896325459,0,12.9714996066273
40,5,13,17.4178520833333,8.22890649606299,0,12.8233792896981
40,5,14,18.81128025,8.22890649606299,0,13.5200933730315
40,5,15,20.2047084166667,8.22890649606299,0,14.2168074563648
40,5,16,20.2047084166667,8.22890649606299,0,14.2168074563648
40,5,17,21.5981365833333,9.8746877952756,0,15.7364121893045
40,5,18,60.61412525,-2.74296883202099,0,28.9355782089895
40,10,1,37.6225605,32.915625984252,0,35.269093242126
40,10,2,45.2864154166667,41.144532480315,0,43.2154739484909
40,10,3,41.5241593666667,36.7557823490813,0,39.139970857874
40,10,4,38.04058895,31.8184384514435,0,34.9295137007217
40,10,5,32.0488478333333,26.3325007874016,0,29.1906743103674
40,10,6,29.2619915,20.8465631233595,0,25.0542773116797
40,10,7,25.7784210833333,19.200781824147,0,22.4896014537401
40,10,8,29.2619915,16.4578129921259,0,22.859902246063
40,10,9,25.7784210833333,13.714844160105,0,19.7466326217192
40,10,10,6.96714083333333,0,0,3.48357041666666
40,10,11,9.05728308333333,1.64578129921261,0,5.35153219127297
40,10,12,11.8441394166667,4.3887501312336,0,8.11644477395015
40,10,13,13.6555960333333,6.58312519685038,0,10.1193606150918
40,10,14,15.3277098333333,7.6803127296588,0,11.5040112814961
40,10,15,15.3277098333333,8.22890649606299,0,11.7783081646981
40,10,16,20.2047084166667,8.77750026246718,0,14.4911043395669
40,10,17,18.81128025,9.8746877952756,0,14.3429840226378
40,10,18,46.6798435833333,4.3887501312336,0,25.5342968572835
40,15,1,39.71270275,46.0818763779528,0,42.8972895639764
40,15,2,46.6798435833333,40.0473449475066,0,43.3635942654199
40,15,3,41.4544879583333,26.3325007874016,0,33.8934943728675
40,15,4,37.9709175416667,20.2979693569554,0,29.134443449311
40,15,5,32.7455619166667,19.200781824147,0,25.9731718704068
40,15,6,27.5202062916667,18.6521880577427,0,23.0861971747047
40,15,7,25.7784210833333,19.200781824147,0,22.4896014537401
40,15,8,29.2619915,18.6521880577427,0,23.9570897788713
40,15,9,25.7784210833333,17.5550005249344,0,21.6667108041338
40,15,10,8.360569,-4.3887501312336,0,1.9859094343832
40,15,11,22.2948506666667,1.0971875328084,0,11.6960190997376
40,15,12,11.8441394166667,4.3887501312336,0,8.11644477395015
40,15,13,13.585924625,5.485937664042,0,9.535931144521
40,15,14,15.3277098333333,7.6803127296588,0,11.5040112814961
40,15,15,15.3277098333333,8.22890649606299,0,11.7783081646981
40,15,16,18.81128025,8.77750026246718,0,13.7943902562336
40,15,17,15.3277098333333,12.0690628608924,0,13.6983863471129
40,15,18,46.6798435833333,-1.64578129921261,0,22.5170311420603
40,20,1,10.45071125,20.2979693569554,0,15.3743403034777
40,20,2,13.9342816666667,25.7839070209974,0,19.8590943438321
40,20,3,13.9342816666667,25.2353132545931,0,19.5847974606299
40,20,4,13.9342816666667,24.686719488189,0,19.3105005774279
40,20,5,13.9342816666667,25.7839070209974,0,19.8590943438321
40,20,6,13.9342816666667,24.1381257217848,0,19.0362036942258
40,20,7,13.9342816666667,25.2353132545931,0,19.5847974606299
40,20,8,13.9342816666667,24.1381257217848,0,19.0362036942258
40,20,9,6.96714083333333,24.1381257217848,0,15.5526332775591
40,20,10,10.45071125,3.2915625984252,0,6.8711369242126
40,20,11,13.9342816666667,4.93734389763779,0,9.43581278215225
40,20,12,13.9342816666667,8.22890649606299,0,11.0815940813648
40,20,13,17.4178520833333,11.5204690944882,0,14.4691605889108
40,20,14,17.4178520833333,14.2634379265091,0,15.8406450049212
40,20,15,17.4178520833333,14.8120316929134,0,16.1149418881234
40,20,16,17.4178520833333,15.3606254593176,0,16.3892387713255
40,20,17,20.9014225,18.1035942913386,0,19.5025083956693
40,20,18,41.802845,2.74296883202099,0,22.2729069160105
45,0,1,6.96714083333333,1.74178520833333,0,4.35446302083333
45,0,2,38.3192745833333,41.802845,0,40.0610597916667
45,0,3,40.0610597916667,43.5446302083333,0,41.802845
45,0,4,38.3192745833333,41.802845,0,40.0610597916667
45,0,5,36.577489375,38.3192745833333,0,37.4483819791667
45,0,6,34.8357041666667,34.8357041666667,0,34.8357041666667
45,0,7,34.8357041666667,34.8357041666667,0,34.8357041666667
45,0,8,34.8357041666667,33.0939189583333,0,33.9648115625
45,0,9,27.8685633333333,29.6103485416667,0,28.7394559375
45,0,10,29.6103485416667,24.3849929166667,0,26.9976707291667
45,0,11,27.8685633333333,22.6432077083333,0,25.2558855208333
45,0,12,24.3849929166667,20.9014225,0,22.6432077083333
45,0,13,24.3849929166667,20.9014225,0,22.6432077083333
45,0,14,26.126778125,20.9014225,0,23.5141003125
45,0,15,26.126778125,20.9014225,0,23.5141003125
45,0,16,26.126778125,20.9014225,0,23.5141003125
45,0,17,27.8685633333333,20.9014225,0,24.3849929166666
45,0,18,40.0610597916667,34.8357041666667,0,37.4483819791667
45,5,1,17.4178520833333,17.4178520833333,0,17.4178520833333
45,5,2,52.25355625,57.478911875,0,54.8662340625
45,5,3,47.028200625,55.7371266666667,0,51.3826636458334
45,5,4,43.5446302083333,52.25355625,0,47.8990932291667
45,5,5,43.5446302083333,48.7699858333333,0,46.1573080208333
45,5,6,34.8357041666667,41.802845,0,38.3192745833333
45,5,7,34.8357041666667,41.802845,0,38.3192745833333
45,5,8,31.35213375,38.3192745833333,0,34.8357041666666
45,5,9,27.8685633333333,34.8357041666667,0,31.35213375
45,5,10,15.676066875,31.35213375,0,23.5141003125
45,5,11,19.1596372916667,20.9014225,0,20.0305298958333
45,5,12,19.1596372916667,20.9014225,0,20.0305298958333
45,5,13,20.9014225,20.9014225,0,20.9014225
45,5,14,22.6432077083333,24.3849929166667,0,23.5141003125
45,5,15,22.6432077083333,24.3849929166667,0,23.5141003125
45,5,16,22.6432077083333,24.3849929166667,0,23.5141003125
45,5,17,22.6432077083333,24.3849929166667,0,23.5141003125
45,5,18,48.7699858333333,41.802845,0,45.2864154166667
45,10,1,50.5117710416667,59.2206970833333,0,54.8662340625
45,10,2,62.7042675,76.6385491666667,0,69.6714083333333
45,10,3,55.7371266666667,69.6714083333333,0,62.7042675
45,10,4,48.7699858333333,59.2206970833333,0,53.9953414583333
45,10,5,40.0610597916667,52.25355625,0,46.1573080208334
45,10,6,34.8357041666667,41.802845,0,38.3192745833333
45,10,7,33.0939189583333,41.802845,0,37.4483819791666
45,10,8,29.6103485416667,38.3192745833333,0,33.9648115625
45,10,9,24.3849929166667,34.8357041666667,0,29.6103485416667
45,10,10,6.96714083333333,13.9342816666667,0,10.45071125
45,10,11,10.45071125,17.4178520833333,0,13.9342816666667
45,10,12,13.9342816666667,6.96714083333333,0,10.45071125
45,10,13,15.676066875,10.45071125,0,13.0633890625
45,10,14,17.4178520833333,13.9342816666667,0,15.676066875
45,10,15,17.4178520833333,13.9342816666667,0,15.676066875
45,10,16,17.4178520833333,13.9342816666667,0,15.676066875
45,10,17,19.1596372916667,13.9342816666667,0,16.5469594791667
45,10,18,62.7042675,62.7042675,0,62.7042675
45,15,1,67.929623125,76.6385491666667,0,72.2840861458334
45,15,2,57.478911875,59.2206970833333,0,58.3498044791667
45,15,3,40.0610597916667,41.802845,0,40.9319523958334
45,15,4,33.0939189583333,34.8357041666667,0,33.9648115625
45,15,5,31.35213375,34.8357041666667,0,33.0939189583333
45,15,6,31.35213375,34.8357041666667,0,33.0939189583333
45,15,7,31.35213375,34.8357041666667,0,33.0939189583333
45,15,8,29.6103485416667,34.8357041666667,0,32.2230263541667
45,15,9,29.6103485416667,34.8357041666667,0,32.2230263541667
45,15,10,6.96714083333333,3.48357041666667,0,5.225355625
